SRS QCM200 Data File
Data Taken on 03.05.2023 at 10:54:21
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+05.004222200E+6	+03.268200E+2	+02.000000E+0	+01.080000E+0	-03.533569E-2	+09.270200E+1	0
+05.004222300E+6	+03.268000E+2	+02.100000E+0	+01.060000E+0	-03.710247E-2	+09.377500E+1	0
+05.004222300E+6	+03.268300E+2	+02.100000E+0	+01.090000E+0	-03.710247E-2	+09.485000E+1	0
+05.004222100E+6	+03.268900E+2	+01.900000E+0	+01.150000E+0	-03.356890E-2	+09.591900E+1	0
+05.004222100E+6	+03.269200E+2	+01.900000E+0	+01.180000E+0	-03.356890E-2	+09.699500E+1	0
+05.004222100E+6	+03.269200E+2	+01.900000E+0	+01.180000E+0	-03.356890E-2	+09.806800E+1	0
+05.004222300E+6	+03.271000E+2	+02.100000E+0	+01.360000E+0	-03.710247E-2	+09.914300E+1	0
+05.004222000E+6	+03.271400E+2	+01.800000E+0	+01.400000E+0	-03.180212E-2	+01.002240E+2	0
+05.004221000E+6	+03.267900E+2	+08.000000E-1	+01.050000E+0	-01.413428E-2	+01.012900E+2	0
+05.004221200E+6	+03.267200E+2	+01.000000E+0	+09.800000E-1	-01.766784E-2	+01.023680E+2	0
+05.004221600E+6	+03.267300E+2	+01.400000E+0	+09.900000E-1	-02.473498E-2	+01.034420E+2	0
+05.004222000E+6	+03.267400E+2	+01.800000E+0	+01.000000E+0	-03.180212E-2	+01.045160E+2	0
+05.004222400E+6	+03.267900E+2	+02.200000E+0	+01.050000E+0	-03.886926E-2	+01.055990E+2	0
+05.004222400E+6	+03.268300E+2	+02.200000E+0	+01.090000E+0	-03.886926E-2	+01.066740E+2	0
+05.004222400E+6	+03.268700E+2	+02.200000E+0	+01.130000E+0	-03.886926E-2	+01.077470E+2	0
+05.004222300E+6	+03.268900E+2	+02.100000E+0	+01.150000E+0	-03.710247E-2	+01.088200E+2	0
+05.004222200E+6	+03.269100E+2	+02.000000E+0	+01.170000E+0	-03.533569E-2	+01.098880E+2	0
+05.004222000E+6	+03.269300E+2	+01.800000E+0	+01.190000E+0	-03.180212E-2	+01.109590E+2	0
+05.004221900E+6	+03.269500E+2	+01.700000E+0	+01.210000E+0	-03.003534E-2	+01.120400E+2	0
+05.004221900E+6	+03.269700E+2	+01.700000E+0	+01.230000E+0	-03.003534E-2	+01.131140E+2	0
+05.004221900E+6	+03.269600E+2	+01.700000E+0	+01.220000E+0	-03.003534E-2	+01.141900E+2	0
+05.004221900E+6	+03.269800E+2	+01.700000E+0	+01.240000E+0	-03.003534E-2	+01.152670E+2	0
+05.004221900E+6	+03.270200E+2	+01.700000E+0	+01.280000E+0	-03.003534E-2	+01.163430E+2	0
+05.004221900E+6	+03.271000E+2	+01.700000E+0	+01.360000E+0	-03.003534E-2	+01.174160E+2	0
+05.004221800E+6	+03.271500E+2	+01.600000E+0	+01.410000E+0	-02.826855E-2	+01.184970E+2	0
+05.004221400E+6	+03.271500E+2	+01.200000E+0	+01.410000E+0	-02.120141E-2	+01.195710E+2	0
+05.004221100E+6	+03.270800E+2	+09.000000E-1	+01.340000E+0	-01.590106E-2	+01.206450E+2	0
+05.004221100E+6	+03.269300E+2	+09.000000E-1	+01.190000E+0	-01.590106E-2	+01.217260E+2	0
+05.004221200E+6	+03.268100E+2	+01.000000E+0	+01.070000E+0	-01.766784E-2	+01.227880E+2	0
+05.004221400E+6	+03.267800E+2	+01.200000E+0	+01.040000E+0	-02.120141E-2	+01.238690E+2	0
+05.004221600E+6	+03.267900E+2	+01.400000E+0	+01.050000E+0	-02.473498E-2	+01.249480E+2	0
+05.004221800E+6	+03.268400E+2	+01.600000E+0	+01.100000E+0	-02.826855E-2	+01.260240E+2	0
+05.004221800E+6	+03.269000E+2	+01.600000E+0	+01.160000E+0	-02.826855E-2	+01.270960E+2	0
+05.004221900E+6	+03.269600E+2	+01.700000E+0	+01.220000E+0	-03.003534E-2	+01.281710E+2	0
+05.004221800E+6	+03.269700E+2	+01.600000E+0	+01.230000E+0	-02.826855E-2	+01.292450E+2	0
+05.004221800E+6	+03.269700E+2	+01.600000E+0	+01.230000E+0	-02.826855E-2	+01.303220E+2	0
+05.004221900E+6	+03.269700E+2	+01.700000E+0	+01.230000E+0	-03.003534E-2	+01.313880E+2	0
+05.004221900E+6	+03.269800E+2	+01.700000E+0	+01.240000E+0	-03.003534E-2	+01.324650E+2	0
+05.004222000E+6	+03.270200E+2	+01.800000E+0	+01.280000E+0	-03.180212E-2	+01.335420E+2	0
+05.004222000E+6	+03.270800E+2	+01.800000E+0	+01.340000E+0	-03.180212E-2	+01.346100E+2	0
+05.004222000E+6	+03.272000E+2	+01.800000E+0	+01.460000E+0	-03.180212E-2	+01.356850E+2	0
+05.004221600E+6	+03.272700E+2	+01.400000E+0	+01.530000E+0	-02.473498E-2	+01.367680E+2	0
+05.004221400E+6	+03.270800E+2	+01.200000E+0	+01.340000E+0	-02.120141E-2	+01.378330E+2	0
+05.004221600E+6	+03.270600E+2	+01.400000E+0	+01.320000E+0	-02.473498E-2	+01.389080E+2	0
+05.004221400E+6	+03.270300E+2	+01.200000E+0	+01.290000E+0	-02.120141E-2	+01.399890E+2	0
+05.004221200E+6	+03.268900E+2	+01.000000E+0	+01.150000E+0	-01.766784E-2	+01.410660E+2	0
+05.004221300E+6	+03.268000E+2	+01.100000E+0	+01.060000E+0	-01.943463E-2	+01.421390E+2	0
