,E(V),i(A)
312,-0.1609802,-4.962158e-07
313,-0.1634216,-4.901123e-07
314,-0.165863,-5.126953e-07
315,-0.1683044,-5.047607e-07
316,-0.1707458,-5.319214e-07
317,-0.1731873,-5.325317e-07
318,-0.1756287,-5.447388e-07
319,-0.1780701,-5.53894e-07
320,-0.1805115,-5.615234e-07
321,-0.1829529,-5.786133e-07
322,-0.1853943,-5.831909e-07
323,-0.1878357,-6.091308e-07
324,-0.1902771,-5.993653e-07
325,-0.1927185,-6.295776e-07
326,-0.1951599,-6.323242e-07
327,-0.1976013,-6.542969e-07
