BindingEnergy,Scan1
186.05999999999995,1040
186.68000000000006,925
187.3499999999999,1011
187.93000000000006,968
187.91000000000008,971
188.51,965
189.1300000000001,1058
189.76999999999998,997
190.3599999999999,1000
190.3499999999999,1016
190.92000000000007,1038
191.52999999999997,1009
192.16000000000008,1000
192.76,1013
193.3599999999999,1031
193.32999999999993,1040
193.95000000000005,1010
194.5999999999999,1032
195.17000000000007,969
195.74,982
195.76,977
196.31999999999994,967
196.97000000000003,993
197.58999999999992,1012
198.1300000000001,1047
198.73000000000002,1002
198.75,1014
199.3499999999999,1021
199.97000000000003,1013
200.53999999999996,1012
201.1199999999999,971
201.1500000000001,1076
201.78999999999996,1002
202.3699999999999,1002
202.95000000000005,993
203.53999999999996,1052
204.16000000000008,951
204.17000000000007,970
204.79999999999995,1040
205.31999999999994,962
205.94000000000005,975
206.5999999999999,988
206.57999999999993,964
207.22000000000003,1011
207.76,1006
208.33999999999992,998
209.02999999999997,1000
209.6099999999999,1071
209.6099999999999,964
210.20000000000005,992
210.76,990
211.3900000000001,1063
212.04999999999995,979
212.01,995
212.57999999999993,1057
213.18000000000006,955
213.83999999999992,1011
214.48000000000002,1021
215.03999999999996,1067
215.03999999999996,968
215.6400000000001,1013
216.28999999999996,1009
216.92000000000007,1004
217.49,992
217.5,1054
218.06999999999994,979
218.72000000000003,989
219.33999999999992,1037
219.9000000000001,1016
220.51,1078
220.5,1021
221.14,1027
221.78999999999996,1011
222.34000000000003,1007
222.92999999999995,1010
222.94000000000005,1021
223.57000000000005,1067
224.17999999999995,1056
224.76,1062
225.34000000000003,1078
226.0,1020
226.01,986
226.62,1011
227.19000000000005,1057
227.83000000000004,1065
228.44000000000005,1064
229.04999999999995,994
229.07000000000005,1054
229.64999999999998,1058
230.24,1047
230.88,1002
231.5,1080
231.51999999999998,1021
232.14,1017
232.71000000000004,1003
233.37,1052
233.99,1074
234.54999999999995,1065
234.57000000000005,1030
235.15999999999997,1093
235.77999999999997,972
236.39999999999998,1103
236.99,997
236.97000000000003,1040
237.55999999999995,970
238.17999999999995,1044
238.77999999999997,1116
239.38,1067
239.95000000000005,1073
239.92999999999995,1013
240.57000000000005,1055
241.20000000000005,1098
241.76999999999998,1115
242.36,1080
242.36,1056
242.98000000000002,1073
243.62,1151
244.16999999999996,1048
244.75,1102
245.39999999999998,1105
245.39,1111
246.03999999999996,1036
246.63,1063
247.16999999999996,1117
247.77999999999997,1071
247.78999999999996,1028
248.46000000000004,1121
249.01,1075
249.54999999999995,1007
250.17999999999995,1023
250.83000000000004,1081
250.86,1162
251.45000000000005,1043
251.98000000000002,1080
252.62,1019
253.27999999999997,1036
253.28999999999996,1095
253.85000000000002,1090
254.39,1048
254.98000000000002,1089
255.69000000000005,1024
256.26,1128
256.27,1094
256.79999999999995,1115
257.39,1092
258.04999999999995,1049
258.66999999999996,1127
258.66999999999996,1124
259.19000000000005,1054
259.77,1104
260.47,1079
261.04999999999995,1109
261.6,1133
261.59000000000003,1129
262.16999999999996,1088
262.88,1097
263.49,1097
263.98,1042
264.0,1093
264.61,1123
265.28,1023
265.90999999999997,1069
266.44000000000005,1198
267.02,1185
267.02,1166
267.69000000000005,1031
